20130501_00,,,,,,,,,,
PRES [hPa],HGHT [m],TEMP [C],DWPT [C],RELH [%],MIXR [g/kg],DRCT [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
995,128,18.6,13.7,73,9.99,225,12,292.2,320.8,293.9
990,172,17.8,13.5,76,9.91,220,12,291.8,320.1,293.5
974.8,305,15.3,12.1,82,9.19,205,11,290.5,316.7,292.1
958,454,12.4,10.6,89,8.44,190,11,289.1,313,290.5
940.6,610,11.3,10.2,93,8.35,175,12,289.5,313.2,290.9
926,743,10.4,9.8,96,8.28,156,9,289.9,313.4,291.3
925,752,10.4,9.8,96,8.28,155,9,289.9,313.6,291.4
915,843,10.8,9.6,92,8.26,144,10,291.2,314.9,292.7
907.3,914,13.1,8.2,72,7.58,135,11,294.3,316.4,295.7
905,935,13.8,7.8,67,7.39,143,11,295.2,316.9,296.6
893,1048,15.4,3.4,45,5.5,186,8,298,314.6,299
884,1134,15.4,1.4,39,4.81,218,7,298.9,313.5,299.8
875.2,1219,16.4,1.2,36,4.81,250,5,300.8,315.5,301.6
861,1358,18,1,32,4.8,278,8,303.9,318.8,304.8
850,1468,17.4,2.4,37,5.38,300,11,304.4,321,305.4
840,1569,16.6,3.6,42,5.93,294,11,304.6,322.8,305.6
814.6,1829,15.1,-0.7,34,4.47,280,12,305.7,319.7,306.5
796,2025,14,-4,28,3.59,290,13,306.5,317.9,307.2
790,2088,14.2,-13.8,13,1.68,293,14,307.4,312.9,307.7
785.7,2134,14,-10.6,17,2.19,295,14,307.7,314.8,308.1
785,2142,14,-10,18,2.29,295,14,307.7,315.2,308.1
767,2337,12.8,-6.2,26,3.15,302,16,308.5,318.6,309.1
757.7,2438,12.2,-7.4,25,2.91,305,17,308.9,318.3,309.4
730.5,2743,10.3,-10.9,21,2.28,295,16,310,317.6,310.4
702,3073,8.2,-14.8,18,1.74,295,17,311.3,317.1,311.6
700,3097,8.2,-17.8,14,1.36,295,17,311.5,316.2,311.8
691,3204,8.2,-25.8,7,0.68,294,17,312.7,315.1,312.8
653.5,3658,4.7,-25.4,9,0.75,290,19,313.8,316.4,313.9
626,4008,2,-25,11,0.81,287,15,314.6,317.4,314.7
613,4177,2,-29,8,0.57,286,13,316.4,318.5,316.6
606.1,4267,1.4,-29.6,8,0.55,285,12,316.8,318.8,316.9
595,4416,0.4,-30.6,8,0.51,290,12,317.3,319.2,317.4
561,4877,-3.3,-34.6,7,0.36,305,13,318.3,319.7,318.4
500,5780,-10.5,-42.5,5,0.18,290,12,320.2,320.9,320.2
479.3,6096,-13.1,-44.2,5,0.16,320,12,320.8,321.4,320.8
402,7414,-24.1,-51.1,6,0.09,301,11,323.1,323.5,323.1
400,7450,-24.3,-51.3,6,0.09,300,11,323.3,323.7,323.3
390.7,7620,-25.5,-54,5,0.06,315,8,323.9,324.2,323.9
370,8016,-28.3,-60.3,3,0.03,340,9,325.3,325.4,325.3
360,8212,-28.9,-61.9,3,0.03,353,9,327,327.2,327.1
315.2,9144,-37.4,-65.2,4,0.02,55,11,327.9,328,327.9
301,9467,-40.3,-66.3,4,0.02,50,11,328.1,328.2,328.1
300,9490,-40.5,-66.5,4,0.02,50,11,328.2,328.2,328.2
291,9696,-41.5,-67.5,4,0.01,49,11,329.6,329.7,329.6
250,10700,-50.5,-69.5,9,0.01,45,10,330.9,330.9,330.9
248,10752,-51.1,-70.1,9,0.01,44,10,330.7,330.8,330.7
218,11579,-57.5,-74.5,10,0.01,33,11,333.2,333.3,333.2
212,11755,-58.1,-75.1,10,0.01,30,11,335,335,335
200,12120,-61.3,-75.3,14,0.01,25,11,335.5,335.6,335.5
194,12308,-62.9,-75.9,16,0.01,77,7,335.9,335.9,335.9
189,12469,-62.7,-75.7,16,0.01,122,4,338.8,338.8,338.8
188.2,12497,-62.8,-76,15,0.01,130,3,338.9,339,338.9
182,12701,-63.9,-77.9,13,0.01,235,7,340.5,340.5,340.5
176,12907,-63.1,-78.1,12,0.01,245,15,345.1,345.1,345.1
169,13159,-60.5,-80.5,6,0,258,26,353.4,353.4,353.4
164,13345,-61.1,-84.1,3,0,267,33,355.4,355.4,355.4
162.3,13411,-61,-84.8,3,0,270,36,356.7,356.7,356.7
158,13577,-60.7,-86.7,2,0,273,35,359.9,359.9,359.9
152,13818,-61.7,-87.7,2,0,278,33,362.2,362.2,362.2
150,13900,-60.3,280,32,366,366,NaN,NaN,NaN,NaN
146,14069,-59.9,278,33,369.5,3.70E+02,NaN,NaN,NaN,NaN
139,14375,-60.7,275,34,373.3,3.73E+02,NaN,NaN,NaN,NaN
136,14511,-59.7,273,34,377.4,3.77E+02,NaN,NaN,NaN,NaN
130,14792,-60.5,270,35,380.9,3.81E+02,NaN,NaN,NaN,NaN
121,15240,-59.5,265,37,390.6,3.91E+02,NaN,NaN,NaN,NaN
116,15503,-61.1,264,36,392.4,3.92E+02,NaN,NaN,NaN,NaN
111,15777,-60.7,263,36,398.1,3.98E+02,NaN,NaN,NaN,NaN
110,15833,-61.5,263,36,397.6,3.98E+02,NaN,NaN,NaN,NaN
100,16420,-64.5,260,34,402.8,4.03E+02,NaN,NaN,NaN,NaN
96.5,16638,-63.5,260,40,408.9,4.09E+02,NaN,NaN,NaN,NaN
94.5,16764,-63.8,260,43,410.7,4.11E+02,NaN,NaN,NaN,NaN
81.3,17678,-66.3,275,31,423.6,4.24E+02,NaN,NaN,NaN,NaN
79.6,17809,-66.7,264,28,425.4,4.25E+02,NaN,NaN,NaN,NaN
77.3,17983,-66,250,25,430.5,4.31E+02,NaN,NaN,NaN,NaN
73.6,18288,-64.7,255,18,439.4,4.39E+02,NaN,NaN,NaN,NaN
71.3,18478,-63.9,252,22,445,445,NaN,NaN,NaN,NaN
70,18590,-64.9,250,24,445.2,4.45E+02,NaN,NaN,NaN,NaN
66.5,18898,-65.4,250,19,450.6,4.51E+02,NaN,NaN,NaN,NaN
63.3,19202,-65.9,230,22,456,456,NaN,NaN,NaN,NaN
60.6,19469,-66.3,239,26,460.8,4.61E+02,NaN,NaN,NaN,NaN
60.2,19507,-66.2,240,27,461.8,4.62E+02,NaN,NaN,NaN,NaN
57.3,19812,-65.6,240,19,469.8,4.70E+02,NaN,NaN,NaN,NaN
54.7,20093,-65.1,268,18,477.2,4.77E+02,NaN,NaN,NaN,NaN
54.5,20117,-64.8,270,18,478.4,4.78E+02,NaN,NaN,NaN,NaN
51.2,20502,-60.1,252,11,498,498,NaN,NaN,NaN,NaN
50,20650,-60.9,245,9,499.5,5.00E+02,NaN,NaN,NaN,NaN
47.2,21008,-61.7,224,8,505.9,5.06E+02,NaN,NaN,NaN,NaN
45.9,21182,-59.3,214,7,515.8,5.16E+02,NaN,NaN,NaN,NaN
44.8,21336,-59.7,205,7,518.3,5.18E+02,NaN,NaN,NaN,NaN
44.4,21390,-59.9,203,8,519.2,5.19E+02,NaN,NaN,NaN,NaN
42.2,21710,-57.5,190,12,532.7,5.33E+02,NaN,NaN,NaN,NaN
40.6,21946,-57.4,180,15,538.7,5.39E+02,NaN,NaN,NaN,NaN
38.8,22250,-57.2,240,12,546.6,5.47E+02,NaN,NaN,NaN,NaN
36.9,22555,-57.1,245,11,554.5,5.55E+02,NaN,NaN,NaN,NaN
35.2,22860,-56.9,275,3,562.6,5.63E+02,NaN,NaN,NaN,NaN
34.8,22931,-56.9,266,3,564.5,5.65E+02,NaN,NaN,NaN,NaN
33.1,23250,-54.7,223,6,578.4,5.78E+02,NaN,NaN,NaN,NaN
31.1,23649,-54.9,170,8,588.3,5.88E+02,NaN,NaN,NaN,NaN
30,23880,-53.7,140,10,597.6,5.98E+02,NaN,NaN,NaN,NaN
29.1,24079,-53.1,110,11,604.5,6.05E+02,NaN,NaN,NaN,NaN
27.8,24384,-52.3,140,16,615.1,6.15E+02,NaN,NaN,NaN,NaN
26.5,24689,-51.4,160,21,625.9,6.26E+02,NaN,NaN,NaN,NaN
26.3,24730,-51.3,161,20,627.3,6.27E+02,NaN,NaN,NaN,NaN
25.2,24994,-52.3,170,17,631.8,6.32E+02,NaN,NaN,NaN,NaN
24.1,25298,-53.5,150,15,636.9,6.37E+02,NaN,NaN,NaN,NaN
23.7,25402,-53.9,155,15,638.7,6.39E+02,NaN,NaN,NaN,NaN
23,25603,-53.4,165,14,645.9,6.46E+02,NaN,NaN,NaN,NaN
21.9,25908,-52.6,145,10,657,657,NaN,NaN,NaN,NaN
21.2,26121,-52.1,147,13,664.8,6.65E+02,NaN,NaN,NaN,NaN
20.5,26339,-50.3,149,17,676.7,6.77E+02,NaN,NaN,NaN,NaN
20,26500,-50.9,150,19,679.6,6.80E+02,NaN,NaN,NaN,NaN
19.9,26518,-50.9,150,19,680.2,6.80E+02,NaN,NaN,NaN,NaN
19,26822,-50.5,160,15,690.4,6.90E+02,NaN,NaN,NaN,NaN
18.2,27127,-50.2,145,12,700.8,7.01E+02,NaN,NaN,NaN,NaN
17.3,27432,-49.9,65,16,711.3,7.11E+02,NaN,NaN,NaN,NaN
17,27560,-49.7,64,17,715.8,7.16E+02,NaN,NaN,NaN,NaN
15.7,28078,-52.1,61,20,724.4,7.24E+02,NaN,NaN,NaN,NaN
13.9,28865,-52.3,56,24,749.3,7.49E+02,NaN,NaN,NaN,NaN
13.7,28956,-51.5,55,25,754.9,7.55E+02,NaN,NaN,NaN,NaN
13.2,29201,-49.5,770.1,7.70E+02,NaN,NaN,NaN,NaN,NaN,NaN
20130501_12,,,,,,,,,,
PRES [hPa],HGHT [m],TEMP [C],DWPT [C],RELH [%],MIXR [g/kg],DRCT [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000,108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
997,128,15.4,12.5,83,9.21,210,4,288.8,314.8,290.4
993,162,14.8,12,83,8.94,211,5,288.5,313.8,290.1
976.5,305,13.4,11.1,86,8.58,215,7,288.6,312.8,290
952,521,11.4,9.8,90,8.05,190,4,288.6,311.4,290
942,610,10.7,9.4,92,7.93,180,3,288.8,311.3,290.2
925,763,9.6,8.8,95,7.74,140,4,289.1,311.2,290.5
908.3,914,8.6,8.1,97,7.53,110,5,289.6,311.1,290.9
885,1129,7.2,7.2,100,7.25,15,6,290.3,311.1,291.6
882,1157,8.4,7.4,93,7.37,2,6,291.8,313.1,293.1
876,1215,16,4,45,5.85,337,6,300.3,318,301.4
875.5,1219,16.1,3.4,43,5.62,335,6,300.5,317.5,301.5
872,1253,17,-1,29,4.1,327,7,301.7,314.4,302.5
865,1322,17.2,-8.8,16,2.28,310,8,302.6,310,303.1
850,1471,16.8,-6.2,20,2.84,275,10,303.7,312.8,304.2
846,1511,16.8,-6.2,20,2.86,276,10,304.1,313.2,304.7
