20160901_00
PRES [hPa],HGHT [m],TEMP [C],DWPT [C],RELH [%],MIXR [g/kg],DRCT [deg],SKNT [knot],THTA [K],THTE [K],THTV [K]
1000.000000,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
994.000000,137,27.6,17.6,54,12.90,285,8,301.3,339.5,303.6
986.000000,209,26.2,18.2,61,13.52,276,8,300.6,340.5,303.0
975.300000,305,24.2,17.4,66,13.03,265,8,299.5,337.8,301.8
969.000000,362,23.0,17.0,69,12.74,273,8,298.8,336.2,301.1
959.000000,453,22.6,15.6,65,11.75,285,8,299.3,333.9,301.4
955.000000,490,23.4,14.4,57,10.91,289,7,300.5,332.8,302.4
950.000000,537,27.6,6.6,26,6.47,295,7,305.2,325.1,306.4
942.200000,610,29.8,-1.0,14,3.79,305,7,308.1,320.2,308.8
942.000000,612,29.8,-1.2,13,3.74,305,7,308.2,320.1,308.9
933.000000,698,31.0,-2.0,12,3.55,308,9,310.2,321.7,310.9
925.000000,775,31.0,-2.0,12,3.59,310,10,311.0,322.6,311.7
924.000000,785,31.0,-2.0,12,3.59,310,10,311.1,322.7,311.8
910.600000,914,30.2,-1.3,13,3.82,310,13,311.5,323.9,312.3
880.000000,1218,28.2,0.2,16,4.43,285,13,312.6,326.9,313.4
879.900000,1219,28.2,0.2,16,4.43,285,13,312.6,326.9,313.4
850.000000,1523,25.4,-0.6,18,4.33,280,12,312.7,326.7,313.6
820.500000,1829,22.6,-0.6,21,4.48,280,13,312.9,327.4,313.8
792.000000,2134,19.8,-0.6,25,4.65,270,12,313.1,328.1,314.0
769.000000,2389,17.4,-0.6,29,4.79,274,10,313.2,328.6,314.1
764.600000,2438,17.1,-0.6,30,4.83,275,10,313.4,328.9,314.3
737.600000,2743,15.0,-0.3,35,5.09,10,1,314.3,330.7,315.3
723.000000,2912,13.8,-0.2,38,5.24,90,6,314.8,331.7,315.8
711.400000,3048,12.9,1.2,45,5.89,155,10,315.2,334.2,316.4
703.000000,3148,12.2,2.2,50,6.42,155,12,315.6,336.2,316.8
700.000000,3184,11.8,1.8,50,6.27,155,13,315.5,335.6,316.7
690.000000,3304,11.0,0.0,47,5.58,146,13,315.9,333.9,317.0
661.100000,3658,7.7,-1.3,53,5.29,120,13,316.1,333.3,317.1
637.200000,3962,4.9,-2.4,59,5.06,115,12,316.3,332.7,317.2
633.000000,4016,4.4,-2.6,60,5.02,118,13,316.3,332.6,317.2
613.700000,4267,2.0,-2.8,71,5.10,130,16,316.3,332.9,317.3
596.000000,4503,-0.3,-3.0,82,5.17,142,18,316.3,333.1,317.3
584.000000,4666,-0.7,-5.4,70,4.40,150,19,317.7,332.2,318.6
568.800000,4877,-2.7,-6.9,73,4.02,160,20,317.7,331.0,318.5
566.000000,4916,-3.1,-7.2,73,3.96,165,19,317.7,330.8,318.5
558.000000,5029,-2.3,-21.3,22,1.26,178,17,320.0,324.4,320.2
552.000000,5115,-0.1,-44.1,2,0.14,189,16,323.6,324.1,323.6
529.000000,5454,-2.5,-48.5,1,0.09,229,9,324.6,325.0,324.7
515.000000,5666,-2.7,-46.7,2,0.11,255,5,326.9,327.4,326.9
506.900000,5791,-3.5,-48.1,2,0.10,270,3,327.4,327.8,327.4
500.000000,5900,-4.3,-49.3,2,0.09,270,7,327.7,328.1,327.8
487.500000,6096,-5.6,-49.5,2,0.09,240,10,328.6,328.9,328.6
